,Judet,Coef_loc
0,dj,2.300375
1,ms,3.0663750000000003
2,vl,2.27825
3,hr,1.58025
4,nt,0.50775
5,tm,0.963625
6,tl,1.09375
7,tr,1.282375
8,bz,0.935125
9,bv,1.032125
10,vs,0.5814999999999999
11,br,1.631375
12,vn,0.7795
13,bt,2.597875
14,bn,0.292125
15,if,0.389625
16,sv,1.387
17,mh,0.717875
18,bh,0.906875
19,bc,0.755125
20,ot,0.40775
21,mm,0.07275000000000001
22,db,0.356375
23,is,1.05725
24,sm,0.110625
25,b,1.9643749999999998
26,ar,0.626
27,hd,0.30300000000000005
28,il,0.045125
29,sj,1.188375
30,ct,1.1996250000000002
31,cs,0.682125
32,gl,0.403
33,gj,0.361875
34,sb,0.923375
35,cl,0.41662499999999997
36,cj,0.71375
37,ab,0.31
38,ph,1.333625
39,ag,0.795875
40,gr,1.608125
